"Origin,""colYear"",""colMonth"",""prom_arribades"""
"BUR,""2006"",""1"",""-5.0000"""
"BUR,""2006"",""7"",""-7.0000"""
"BUR,""2007"",""6"",""-7.0000"""
"BUR,""2007"",""11"",""-6.0000"""
"BUR,""2008"",""1"",""-4.0000"""
"BUR,""2008"",""6"",""-6.0000"""
"BUR,""2008"",""11"",""-9.0000"""
"BUR,""2008"",""12"",""-14.0000"""
"BWI,""1987"",""11"",""-5.0000"""
"BWI,""1988"",""1"",""27.0000"""
"BWI,""1988"",""3"",""23.0000"""
"BWI,""1988"",""9"",""4.0000"""
"BWI,""1988"",""12"",""126.0000"""
"BWI,""1989"",""1"",""17.0000"""
"BWI,""1989"",""10"",""12.0000"""
"BWI,""1989"",""11"",""5.0000"""
"BWI,""1989"",""12"",""1.5000"""
"BWI,""1990"",""2"",""4.0000"""
"BWI,""1990"",""5"",""-23.0000"""
"BWI,""1990"",""12"",""5.0000"""
"BWI,""1991"",""3"",""-5.0000"""
"BWI,""1992"",""2"",""7.0000"""
"BWI,""1993"",""4"",""-2.0000"""
"BWI,""1993"",""6"",""116.0000"""
"BWI,""1993"",""9"",""4.0000"""
"BWI,""1993"",""11"",""13.0000"""
"BWI,""1994"",""5"",""-13.0000"""
"BWI,""1994"",""11"",""6.0000"""
"BWI,""1995"",""1"",""21.0000"""
"BWI,""1995"",""2"",""8.0000"""
"BWI,""1995"",""6"",""21.0000"""
"BWI,""1995"",""11"",""-22.0000"""
"BWI,""1996"",""5"",""30.0000"""
"BWI,""1997"",""2"",""15.0000"""
"BWI,""1998"",""2"",""55.0000"""
"BWI,""1998"",""9"",""14.0000"""
"BWI,""1998"",""12"",""283.0000"""
"BWI,""1999"",""1"",""0.0000"""
"BWI,""1999"",""8"",""-10.0000"""
"BWI,""1999"",""10"",""17.0000"""
"BWI,""2000"",""1"",""-7.0000"""
"BWI,""2000"",""4"",""4.0000"""
"BWI,""2000"",""6"",""8.0000"""
"BWI,""2000"",""8"",""2.0000"""
"BWI,""2000"",""11"",""-6.0000"""
"BWI,""2001"",""8"",""23.0000"""
"BWI,""2001"",""9"",""-10.0000"""
"BWI,""2002"",""4"",""25.0000"""
"BWI,""2002"",""7"",""-15.0000"""
"BWI,""2002"",""8"",""-9.0000"""
"BWI,""2002"",""11"",""8.0000"""
"BWI,""2003"",""1"",""-42.0000"""
"BWI,""2004"",""1"",""-5.0000"""
"BWI,""2004"",""2"",""1.0000"""
"BWI,""2004"",""6"",""66.0000"""
"BWI,""2004"",""10"",""-5.0000"""
"BWI,""2005"",""4"",""5.0000"""
"BWI,""2005"",""5"",""-15.0000"""
"BWI,""2005"",""6"",""4.0000"""
"BWI,""2005"",""8"",""46.0000"""
"BWI,""2005"",""12"",""6.0000"""
"BWI,""2006"",""7"",""-5.0000"""
"BWI,""2006"",""8"",""3.0000"""
"BWI,""2006"",""10"",""-13.0000"""
"BWI,""2006"",""12"",""-22.0000"""
"BWI,""2007"",""1"",""16.0000"""
"BWI,""2007"",""9"",""-16.0000"""
"BWI,""2008"",""2"",""-8.0000"""
"BWI,""2008"",""3"",""-2.0000"""
"BWI,""2008"",""5"",""35.0000"""
"BWI,""2008"",""7"",""25.0000"""
"BWI,""2008"",""9"",""12.0000"""
"BWI,""2008"",""10"",""21.0000"""
"BZN,""1992"",""4"",""-10.0000"""
"BZN,""1994"",""8"",""-1.0000"""
"CAE,""1988"",""10"",""-5.0000"""
"CAE,""1989"",""2"",""34.0000"""
"CAE,""1990"",""2"",""1.0000"""
"CAE,""1998"",""10"",""-4.0000"""
"CAE,""1999"",""2"",""2.0000"""
"CAE,""2001"",""1"",""2.0000"""
"CAE,""2005"",""3"",""15.0000"""
"CAE,""2008"",""2"",""90.0000"""
"CHA,""1992"",""6"",""7.0000"""
"CHA,""2006"",""5"",""3.0000"""
"CHO,""1987"",""10"",""-3.0000"""
"CHO,""2006"",""1"",""5.0000"""
"CHS,""1989"",""9"",""17.0000"""
"CHS,""1996"",""8"",""79.0000"""
"CHS,""2007"",""4"",""16.0000"""
"CHS,""2008"",""5"",""3.0000"""
"CHS,""2008"",""9"",""-7.0000"""
"CID,""1989"",""11"",""-5.0000"""
"CID,""1991"",""9"",""2.0000"""
"CID,""2000"",""8"",""29.0000"""
"CID,""2007"",""2"",""37.0000"""
"CID,""2007"",""7"",""-2.0000"""
"CLE,""1988"",""9"",""0.5000"""
"CLE,""1989"",""5"",""10.0000"""
"CLE,""1989"",""7"",""-24.0000"""
"CLE,""1989"",""8"",""-6.0000"""
"CLE,""1990"",""1"",""8.0000"""
"CLE,""1990"",""3"",""2.0000"""
"CLE,""1990"",""4"",""-18.5000"""
"CLE,""1990"",""8"",""-3.5000"""
"CLE,""1990"",""12"",""19.0000"""
"CLE,""1991"",""4"",""-19.0000"""
"CLE,""1991"",""6"",""1.5000"""
"CLE,""1992"",""9"",""-13.0000"""
"CLE,""1993"",""8"",""-10.0000"""
"CLE,""1994"",""8"",""2.0000"""
"CLE,""1995"",""5"",""11.3333"""
"CLE,""1995"",""10"",""7.0000"""
"CLE,""1995"",""12"",""16.0000"""
"CLE,""1996"",""2"",""17.0000"""
"CLE,""1996"",""4"",""-5.0000"""
"CLE,""1997"",""1"",""-1.0000"""
"CLE,""1997"",""2"",""7.0000"""
